Time-step, Boss, Warrior, Rogue, Mage, Druid, Priest
1, 4940.071, 2957, 1487, 981, 1239, 891
2, 4894.395, 2935, 1472, 976, 1221, 883
3, 4841.279, 2916, 1466, 969, 1214, 893
4, 4777.945, 2896, 1456, 955, 1208, 895
5, 4707.397, 2875, 1440, 936, 1196, 894
6, 4656.097, 2856, 1422, 931, 1189, 884
7, 4593.484, 2838, 1417, 913, 1176, 885
8, 4527.91, 2820, 1407, 900, 1157, 881
9, 4481.141, 2800, 1390, 890, 1149, 881
10, 4433.796, 2780, 1374, 881, 1134, 882
11, 4375.576, 2765, 1368, 872, 1116, 892
12, 4332.714, 2749, 1363, 862, 1108, 882
13, 4298.401, 2733, 1357, 846, 1101, 883
14, 4253.311, 2716, 1352, 829, 1082, 886
15, 4202.227, 2695, 1341, 815, 1075, 886
16, 4155.008, 2671, 1322, 802, 1061, 882
17, 4109.123, 2655, 1304, 797, 1054, 885
18, 4043.819, 2638, 1299, 781, 1047, 893
19, 3998.503, 2620, 1284, 774, 1040, 893
20, 3935.183, 2603, 1269, 759, 1024, 887
21, 3868.462, 2580, 1255, 752, 1008, 890
22, 3795.967, 2556, 1237, 736, 990, 889
23, 3745.136, 2532, 1221, 722, 975, 881
24, 3696.031, 2510, 1216, 716, 968, 884
25, 3645.014, 2486, 1204, 708, 950, 894
26, 3590.297, 2467, 1197, 696, 935, 893
27, 3518.906, 2449, 1187, 688, 920, 887
28, 3458.89, 2427, 1171, 673, 902, 887
29, 3411.92, 2410, 1152, 657, 889, 883
30, 3373.774, 2387, 1138, 646, 870, 890
31, 3312.022, 2365, 1132, 633, 865, 887
32, 3262.662, 2341, 1120, 625, 853, 894
33, 3208.776, 2317, 1111, 613, 844, 882
34, 3154.374, 2293, 1095, 604, 833, 888
35, 3110.102, 2276, 1089, 591, 822, 895
36, 3046.182, 2257, 1073, 584, 804, 893
37, 2996.541, 2238, 1067, 578, 788, 894
38, 2932.828, 2223, 1049, 562, 780, 891
39, 2870.239, 2206, 1034, 549, 764, 886
40, 2827.199, 2182, 1023, 543, 755, 883
41, 2786.216, 2158, 1004, 529, 741, 889
42, 2724.732, 2137, 990, 516, 724, 882
43, 2666.297, 2120, 977, 511, 716, 879
44, 2614.162, 2103, 964, 505, 700, 880
45, 2561.175, 2081, 946, 495, 689, 885
46, 2516.547, 2058, 931, 485, 684, 893
47, 2457.925, 2040, 924, 480, 666, 894
48, 2408.807, 2020, 917, 467, 656, 883
49, 2350.861, 1997, 912, 455, 637, 893
50, 2293.495, 1980, 906, 445, 618, 894
51, 2234.564, 1957, 894, 430, 602, 894
52, 2174.214, 1939, 876, 413, 593, 895
53, 2120.654, 1918, 859, 407, 575, 894
54, 2080.21, 1896, 841, 388, 558, 882
55, 2023.794, 1872, 830, 372, 546, 884
56, 1966.179, 1857, 821, 359, 533, 889
57, 1904.277, 1842, 815, 350, 521, 895
58, 1853.779, 1819, 809, 344, 504, 894
59, 1793.521, 1795, 797, 337, 498, 883
60, 1732.211, 1775, 781, 328, 491, 880
61, 1670.969, 1755, 762, 316, 480, 885
62, 1620.2, 1735, 750, 302, 471, 893
63, 1559.537, 1716, 743, 291, 462, 886
64, 1511.993, 1700, 726, 276, 457, 883
65, 1454.523, 1684, 721, 263, 443, 889
66, 1406.158, 1663, 706, 244, 431, 894
67, 1345.417, 1641, 698, 229, 425, 881
68, 1291.712, 1620, 685, 213, 420, 884
69, 1224.45, 1603, 672, 194, 408, 882
70, 1181.297, 1585, 660, 175, 403, 889
71, 1123.842, 1561, 648, 159, 391, 887
72, 1058.527, 1540, 642, 144, 386, 881
73, 1004.89, 1523, 632, 133, 370, 878
74, 951.3212, 1503, 613, 126, 362, 879
75, 898.0036, 1486, 606, 108, 349, 883
76, 830.8148, 1465, 590, 101, 331, 892
77, 766.1167, 1445, 577, 96, 314, 891
78, 720.5278, 1427, 565, 78, 309, 885
79, 649.446, 1412, 559, 69, 296, 891
80, 604.6734, 1393, 550, 51, 285, 895
81, 546.3732, 1373, 534, 44, 274, 892
82, 489.2536, 1356, 519, 28, 256, 882
83, 438.3901, 1334, 514, 11, 245, 890
84, 372.4373, 1292, 502, 0, 239, 883
